Structure Name,River,Upstream Node,Downstream Node,Dead storage (10^6 m^3),Existence,Type,
Barwa Sagar Reservoir,Betwa,Betwa headwaters,Betwa-Yamuna,0,Exists,Dam,
Rana Pratap Sagar Reservoir,Chambal,Chambal headwaters,Kalisindh-Chambal,0,Exists,Dam,
Bukkapatnam Reservoir,Chitravati,Chitravati headwaters,Chitravati-Penna,0,Exists,Dam,
Sapta Gandaki Dam,Gandak,Gandak headwaters,Gandak-Ganga,222,Proposed,Dam,
MSTG Outfall,Ganga,Kosi-Ganga,Mahananda-Ganga,0,Proposed,Outfall,
Gandak-Ganga Outfall,Ganga,Ganga headwaters,Yamuna-Ganga,0,Proposed,Outfall,
Upper Ganga Offtake,Ganga,Ganga headwaters,Gandak-Ganga Outfall,0,Proposed,Outfall,
Chunar Offtake,Ganga,Yamuna-Ganga,Ghaghara-Ganga,0,Proposed,Outfall,
Chisapani Dam,Ghaghara,Ghaghara headwaters,Sarda-Ghaghara,12000,Proposed,Dam,
Re-regulating Dam,Ghaghara,Chisapani Dam,Sarda-Ghaghara,25,Proposed,Dam,
Inchampalli Dam,Godavari,Godavari headwaters,Godavari mouth,6089,Proposed,Dam,
Polavaram Dam,Godavari,Inchampalli Dam,Godavari mouth,3381,Proposed,Dam,
Dowlaiswaram Barrage,Godavari,Polavaram Dam,Godavari mouth,0,Exists,Barrage,
Kundaliya Dam,Kalisindh,Kalisindh headwaters,Newaj-Kalisindh,88,Proposed,Dam,
Kattalai Barrage,Kaveri,Kaveri headwaters,Kaveri mouth,0,Proposed,Barrage,
Grand Anicut,Kaveri,Kattalai Barrage,Kaveri mouth,0,Exists,Dam,
Daudhan Dam,Ken,Ken headwaters,Ken-Yamuna,169,Proposed,Dam,
Sapta Kosi High Dam Project,Kosi,Kosi headwaters,Kosi-Ganga,4087,Proposed,Dam,
Chatra Barrage,Kosi,Sapta Kosi High Dam Project,Kosi-Ganga,0,Proposed,Barrage,
Almatti,Krishna,Krishna headwaters,Krishna mouth,0,Exists,Dam,
Srisailam,Krishna,Almatti,Krishna mouth,0,Exists,Dam,
Nagarjuna Sagar,Krishna,Srisailam,Krishna mouth,0,Exists,Dam,
Pulichintala,Krishna,Nagarjuna Sagar,Krishna mouth,447,Proposed,Dam,
Prakasam Barrage,Krishna,Pulichintala,Krishna mouth,0,Exists,Barrage,
Barmul Dam,Mahanadi,Mahanadi headwaters,Mahanadi mouth,243,Proposed,Dam,
Naraj Barrage,Mahanadi,Barmul Dam,Mahanadi mouth,0,Exists,Barrage,
Manas Dam,Manas,Manas headwaters,Manas-Brahmaputra,2188,Proposed,Dam,
Mohanpura Dam,Newaj,Newaj headwaters,Newaj-Kalisindh,77,Proposed,Dam,
Patanpur Dam,Parbati,Parbati headwaters,Parbati-Chambal,46,Proposed,Dam,
Kalvapalli Dam,Penna,Penna headwaters,Chitravati-Penna,10,Proposed,Dam,
Somasila,Penna,Chitravati-Penna,Penna mouth,0,Exists,Dam,
Krishna-Penna Outfall,Penna,Chitravati-Penna,Somasila,0,Proposed,Outfall,
Sankosh Dam,Sankosh,Sankosh headwaters,Sankosh-Brahmaputra,1350,Proposed,Dam,
Sankosh Lift Dam,Sankosh,Sankosh Dam,Sankosh-Brahmaputra,120,Proposed,Dam,
Pancheswar High Dam,Sarda,Sarda headwaters,Sarda-Ghaghara,5317,Proposed,Dam,
Rupali Gad Re-Regulating Dam,Sarda,Pancheswar High Dam,Sarda-Ghaghara,21,Proposed,Dam,
Kadwan Dam,Son,Son headwaters,Son-Ganga,1142,Proposed,Dam,
Sone Barrage,Son,Kadwan Dam,Son-Ganga,0,Exists,Dam,
STG Outfall,STG,STG headwaters,STG-Ganga,0,Proposed,Outfall,
Subarnarekha Barrage,Subarnarekha,Subarnarekha headwaters,Subarnarekha mouth,0,Proposed,Barrage,
Raidak Offtake,Raidak,Raidak headwaters,Raidak-Brahmaputra,0,Proposed,Offtake,
Torsa Offtake,Torsa,Torsa headwaters,Torsa-Brahmaputra,0,Proposed,Offtake,
Jaldhak Offtake,Jaldhak,Jaldhak headwaters,Jaldhak-Brahmaputra,0,Proposed,Offtake,
Kosi-Mechi Outfall,Mechi,Mechi headwaters,Mechi-Mahananda,0,Proposed,Outfall,
Kosi-Ghaghara Outfall,Rapti,Rapti headwaters,Rapti-Ghaghara,0,Proposed,Outfall,
Sarda-Yamuna Outfall,Yamuna,Yamuna headwaters,Chambal-Yamuna,0,Proposed,Outfall,
Ghaghara-Yamuna Outfall,Yamuna,Sarda-Yamuna Outfall,Chambal-Yamuna,0,Proposed,Outfall,
Rajasthan-Sabarmati Outfall,Sabarmati,Sabarmati headwaters,Sabarmati mouth,0,Proposed,Outfall,
Kaveri-Gundar Outfall,Gundar,Gundar headwaters,Gundar mouth,0,Proposed,Outfall,
